,ID,Name,Position,Overall,Potential,BS,IR,PAC,SHO,PAS,DRI,DEF,PHY,Value,Wage,TotalStats
0,158023,L. Messi,CF RW ST,94,94,458,5,88,91,90,96,32,61,€110.5M,€565K,2202
1,20801,Cristiano Ronaldo,ST LW,94,94,467,5,90,93,81,89,35,79,€77M,€405K,2228
2,190871,Neymar Jr,LW CAM,92,93,445,5,92,84,83,95,32,59,€118.5M,€290K,2143
3,193080,De Gea,GK,91,93,501,4,90,85,86,94,58,88,€72M,€260K,1470
4,192985,K. De Bruyne,CAM CM,91,92,481,4,77,86,92,87,61,78,€102M,€355K,2281
5,183277,E. Hazard,LW CF,91,91,456,4,91,83,86,94,35,67,€93M,€340K,2142
6,177003,L. Modrić,CM,91,91,470,4,76,76,90,91,70,67,€67M,€420K,2280
7,176580,L. Suárez,ST,91,91,472,5,80,89,79,87,52,85,€80M,€455K,2346
8,155862,Sergio Ramos,CB,91,91,459,4,75,65,72,72,90,85,€51M,€380K,2201
9,200389,J. Oblak,GK,90,93,485,3,86,92,78,89,52,88,€68M,€94K,1331
10,188545,R. Lewandowski,ST,90,90,450,4,78,89,75,85,41,82,€77M,€205K,2152
11,182521,T. Kroos,CM CDM,90,90,460,4,63,82,89,83,74,69,€76.5M,€355K,2190
12,182493,D. Godín,CB,90,90,415,3,68,48,65,62,89,83,€44M,€125K,1946
13,168542,David Silva,CAM CM,90,90,435,4,67,76,89,91,52,60,€60M,€285K,2115
14,138956,G. Chiellini,CB,90,90,405,4,70,46,56,58,91,84,€31M,€225K,1842
15,215914,N. Kanté,CDM CM,89,89,475,3,80,66,77,81,87,84,€56M,€225K,2189
16,211110,P. Dybala,CAM ST CF,89,94,439,3,85,85,84,91,28,66,€89M,€205K,2092
17,202126,H. Kane,ST,89,91,449,3,70,90,79,80,47,83,€83.5M,€205K,2165
18,194765,A. Griezmann,CF ST,89,90,465,4,86,86,82,89,52,70,€78M,€145K,2246
19,192448,M. ter Stegen,GK,89,92,480,3,87,85,88,90,45,85,€58M,€240K,1328
20,192119,T. Courtois,GK,89,90,471,4,85,91,72,88,49,86,€53.5M,€240K,1311
21,189511,Sergio Busquets,CDM CM,89,89,438,4,51,62,80,80,85,80,€51.5M,€315K,2065
22,179813,E. Cavani,ST,89,89,450,4,76,87,72,80,52,83,€60M,€200K,2161
23,167495,M. Neuer,GK,89,89,498,5,90,86,91,87,57,87,€38M,€130K,1473
24,153079,S. Agüero,ST,89,89,440,4,84,89,76,89,29,73,€64.5M,€300K,2107
25,231747,K. Mbappé,RW ST RM,88,95,458,3,96,83,78,90,39,72,€81M,€100K,2118
26,209331,M. Salah,RW ST,88,89,461,3,92,84,79,89,45,72,€69.5M,€255K,2146
27,200145,Casemiro,CDM,88,90,453,3,62,69,75,72,87,88,€59.5M,€285K,2170
28,198710,J. Rodríguez,CAM CM RM,88,89,447,4,70,86,88,86,50,67,€69.5M,€315K,2171
29,198219,L. Insigne,LW,88,88,428,3,90,77,84,91,36,50,€62M,€165K,2017
30,197781,Isco,CAM CM LW,88,91,451,3,72,78,85,93,61,62,€73.5M,€315K,2137
31,190460,C. Eriksen,CAM RM CM,88,91,449,3,74,82,90,86,53,64,€73.5M,€205K,2117
32,189242,Coutinho,LW RW CM,88,89,457,3,81,82,86,91,52,65,€69.5M,€340K,2175
33,188567,P. Aubameyang,ST LM,88,88,440,3,94,84,75,80,37,70,€59M,€265K,2069
34,188350,M. Reus,CAM LM ST,88,88,454,4,85,87,84,87,45,66,€58M,€130K,2185
35,178603,M. Hummels,CB,88,88,430,4,59,58,76,72,89,76,€46M,€160K,2038
36,176676,Marcelo,LB,88,88,489,4,82,72,83,90,80,82,€43M,€285K,2279
37,173731,G. Bale,RW ST LW,88,88,486,4,95,88,84,85,58,76,€60M,€355K,2279
38,167948,H. Lloris,GK,88,88,478,4,88,84,68,92,63,83,€36M,€150K,1335
39,167664,G. Higuaín,ST,88,88,418,4,73,87,70,83,31,74,€57M,€245K,1965
40,164240,Thiago Silva,CB,88,88,434,4,71,54,73,69,88,79,€24M,€165K,2077
41,162835,S. Handanovič,GK,88,88,473,3,87,86,69,89,53,89,€30M,€110K,1262
42,1179,G. Buffon,GK,88,88,468,4,88,87,74,83,46,90,€4M,€77K,1334
43,205600,S. Umtiti,CB,87,92,449,3,72,64,71,72,88,82,€57M,€205K,2147
44,203376,V. van Dijk,CB,87,89,447,3,76,60,69,70,87,85,€50.5M,€180K,2058
45,201399,M. Icardi,ST,87,90,411,3,78,85,61,79,36,72,€64.5M,€130K,1940
46,201024,K. Koulibaly,CB,87,90,383,3,72,26,49,62,88,86,€51M,€115K,1660
47,195864,P. Pogba,CM CDM,87,91,478,4,75,80,85,85,67,86,€64M,€210K,2246
48,193041,K. Navas,GK,87,87,471,3,90,81,75,90,53,82,€30.5M,€195K,1345
49,192387,C. Immobile,ST,87,87,430,3,82,87,63,82,39,77,€52M,€115K,2009
50,189332,Jordi Alba,LB,87,87,475,3,93,69,79,83,79,72,€38M,€250K,2230
51,175943,D. Mertens,CF ST,87,87,432,3,89,83,80,91,34,55,€45M,€135K,2043
52,172871,J. Vertonghen,CB,87,87,438,3,63,63,73,72,88,79,€34M,€155K,2079
53,171877,M. Hamšík,CM,87,87,457,3,68,80,84,84,72,69,€46.5M,€125K,2188
54,168651,I. Rakitić,CM,87,87,456,4,62,84,87,82,72,69,€46.5M,€260K,2184
55,152729,Piqué,CB,87,87,413,4,55,61,69,65,87,76,€34M,€240K,1950
56,222492,L. Sané,LW,86,92,448,2,95,81,78,86,38,70,€61M,€195K,2094
57,218667,Bernardo Silva,CAM CM RW RM,86,91,430,2,79,73,83,91,46,58,€59.5M,€180K,2039
58,212831,Alisson,GK,86,91,473,3,84,81,86,88,49,85,€42.5M,€125K,1323
59,210257,Ederson,GK,86,90,488,2,85,80,91,87,63,82,€41.5M,€125K,1463
60,208722,S. Mané,LW RW,86,87,452,3,94,80,76,87,42,73,€52M,€195K,2110
